name,lat,lng,category,city,country,googleMapsLink,note
田中園 (大安店),25.0293657,121.5406382,台式料理,台北,TW,http://maps.google.com/?cid=11268718925989589330,
海福岡日式台式料理海鮮熱炒,25.028386,121.5467431,海鮮料理,台北,TW,http://maps.google.com/?cid=17812725603349143819,
金華街咖哩屋(Janny Curry House),25.030259,121.528257,咖哩/印度,台北,TW,http://maps.google.com/?cid=15355248014172891590,
東大門韓國特色料理,25.0245278,121.5280571,韓式料理,台北,TW,http://maps.google.com/?cid=4283151811447692684,
韓宮正宗韓式料理,25.0485926,121.5323787,韓式料理,台北,TW,http://maps.google.com/?cid=10712572259537602488,
釜山湯飯 부산국밥,25.0503604,121.5603806,韓式料理,台北,TW,http://maps.google.com/?cid=386299065214128278,
玖仰Jiuyang-永康門市,25.0329427,121.5299258,台式料理,台北,TW,http://maps.google.com/?cid=17034719162735014810,
Mosaic Art & Cafe 馬賽克土耳其餐廳,25.0329359,121.5291574,咖啡廳,台北,TW,http://maps.google.com/?cid=14349616167891395639,
Fallabella River Front,13.7264507,100.5111194,泰式料理,曼谷,TH,http://maps.google.com/?cid=5531416741336648145,
Sae Phun ข้าวหน้าไก่แซ่พุ้น,13.7534253,100.4983761,泰式料理,曼谷,TH,http://maps.google.com/?cid=11946761654799965788,
ร้านขจร | Kajohn Authentic Southern Thai Cuisine,13.7559825,100.5096848,泰式料理,曼谷,TH,http://maps.google.com/?cid=6006486264833919387,
識食餐室 ZEST DINER,25.0316827,121.5445554,台式料理,台北,TW,http://maps.google.com/?cid=9592919304875783792,
暹羅廚房—三重泰國菜,25.0624365,121.4955061,泰式料理,台北,TW,http://maps.google.com/?cid=5705439808721547431,
湊湊火鍋•茶憩 大巨蛋店,25.0418115,121.5603733,景點,台北,TW,http://maps.google.com/?cid=14074754136347566412,
螺絲瑪莉義麵坊,25.0517642,121.5219695,台式料理,台北,TW,http://maps.google.com/?cid=17655218574165337102,
M One Cafe 大安,25.0388681,121.5450689,咖啡廳,台北,TW,http://maps.google.com/?cid=708211114617327747,
玉虫画室,25.0541617,121.6016139,台式料理,台北,TW,http://maps.google.com/?cid=4291716500658981383,
興波咖啡 華山旗艦店,25.0439031,121.5276904,咖啡廳,台北,TW,http://maps.google.com/?cid=4151553565195229306,
武藏野の洋菓子,25.0760448,121.3760649,台式料理,桃園,TW,http://maps.google.com/?cid=10952067956532676455,
Oolong Crepes 烏龍可麗餅 日式可麗餅,25.0493894,121.5192557,台式料理,台北,TW,http://maps.google.com/?cid=15589561961032448785,
阿含thai,24.9293078,121.2545048,泰式料理,桃園,TW,http://maps.google.com/?cid=15354325844640078128,
YUM YUM泰式涼拌燒烤,24.9291856,121.254461,泰式料理,桃園,TW,http://maps.google.com/?cid=1679580891587453560,
阿杏臭豆腐,24.8811998,121.2875097,台式小吃,桃園,TW,http://maps.google.com/?cid=12217789934793825134,
大溪古味小棧,24.8816297,121.2871732,台式料理,桃園,TW,http://maps.google.com/?cid=13794399958375588984,
塔斯窩/桃園大溪老街隱藏美食/中式套餐/大溪老街美食/,24.8825053,121.2863043,甜點,桃園,TW,http://maps.google.com/?cid=10178100711720541438,
เฮียด่วน Hereduan - 段哥 Thai Street food,13.7383527,100.5886098,泰式料理,曼谷,TH,http://maps.google.com/?cid=15415940468635437582,
Myth,13.7601473,100.4962335,泰式料理,曼谷,TH,http://maps.google.com/?cid=15098149864320681489,
Kalyana Restaurant,13.7545787,100.5419686,泰式料理,曼谷,TH,http://maps.google.com/?cid=4565418811828632373,
Suda - Thai & Vegetarian Restaurant,13.7633111,100.5005761,泰式料理,曼谷,TH,http://maps.google.com/?cid=17050478533467532756,
Jasmine Siam Kitchen จัสมิน สยาม คิทเช่น,13.7538362,100.5306057,泰式料理,曼谷,TH,http://maps.google.com/?cid=13098205050580467836,
THE SIXTH 6th,13.7457049,100.4913201,泰式料理,曼谷,TH,http://maps.google.com/?cid=13936421963251414714,
Zafran Eatery - One Bangkok (Indian Food),13.7266018,100.5461989,咖哩/印度,曼谷,TH,http://maps.google.com/?cid=6518946191389773407,
Signature 15,13.7537478,100.5370839,泰式料理,曼谷,TH,http://maps.google.com/?cid=1756808632777755554,
แซ่บนิรันดร์ - ZAABNIRAN One Bangkok,13.7265918,100.5462603,泰式料理,曼谷,TH,http://maps.google.com/?cid=6870608693537363013,
Rosewood Restaurant,13.7042506,100.5024272,泰式料理,曼谷,TH,http://maps.google.com/?cid=12494578101181326982,
THE BRANCH Sourdough Sandwiches.Coffee.Cake & Juice,13.7611607,100.4936904,咖啡廳,曼谷,TH,http://maps.google.com/?cid=5622365356165172203,
DRINK COFFEE - HQ,13.7425044,100.5487048,咖啡廳,曼谷,TH,http://maps.google.com/?cid=4370156051667760620,
Lao Hong Chiang,13.756416,100.3954851,泰式料理,曼谷,TH,http://maps.google.com/?cid=702023373693272110,
Kodtalay The Riverfront Seafood Buffet,13.7143961,100.5110752,海鮮料理,曼谷,TH,http://maps.google.com/?cid=15507976099119307269,
Taling Pling Sukhumvit 34,13.7246165,100.5731972,泰式料理,曼谷,TH,http://maps.google.com/?cid=13388981065201512560,
建興海鮮酒家,13.7282415,100.5266321,海鮮料理,曼谷,TH,http://maps.google.com/?cid=190904613392791886,
王子戲院豬肉粥,13.7208579,100.516151,泰式料理,曼谷,TH,http://maps.google.com/?cid=12074234260692626819,
Kuay Jab Mr. Joe,13.7091825,100.5141618,泰式料理,曼谷,TH,http://maps.google.com/?cid=11856941294525804647,
Sri Trat Restaurant and Bar,13.7368037,100.5680964,泰式料理,曼谷,TH,http://maps.google.com/?cid=1936812339250291051,
